image,x spot [px],y spot [px],Conf. [%],Pixel value,Velocity [pix/frame],Mean intensity over 1x1 pixels window
2,701.52,1462.54,0.67,2,0.00,2.0
3,702.12,1461.61,0.67,2,1.11,2.0
4,704.13,1462.65,0.67,2,2.26,2.0
5,704.33,1463.58,0.67,2,0.96,2.0
6,702.46,1462.15,0.67,2,2.36,2.0
7,702.53,1461.63,0.65,2,0.52,2.0
8,700.49,1462.42,0.67,2,2.20,2.0
9,699.49,1462.85,0.66,2,1.08,2.0
10,701.81,1462.52,-1.00,2,2.34,1.9
11,702.50,1463.50,1.00,2,1.20,1.9
